U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 10.1 Renewable Energy Production and Consumption by Source,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Wood Energy Production,Biofuels Production,Total Biomass Energy Production,Total Renewable Energy Production,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Wood Energy Consumption,Waste Energy Consumption,Biofuels Consumption,Total Biomass Energy Consumption,Total Renewable Energy Consumption
12/01/1990,202.362,9.416,245.644,528.927,263.525,14.668,3.851,1.239,202.362,33.866,9.416,245.644,528.927
01/01/1991,221.773,10.871,269.531,569.477,280.572,15.446,3.28,0.648,221.773,36.887,10.871,269.531,569.477
02/01/1991,161.586,9.819,204.535,465.116,240.524,13.497,3.535,3.026,161.586,33.129,9.819,204.535,465.116
03/01/1991,165.815,10.871,214.374,519.109,282.566,15.382,4.626,2.161,165.815,37.688,10.871,214.374,519.109
04/01/1991,142.348,10.521,190.452,492.912,281.008,13.871,5.096,2.485,142.348,37.583,10.521,190.452,492.912
05/01/1991,156.299,10.871,206.579,540.589,309.826,14.196,6.206,3.782,156.299,39.409,10.871,206.579,540.589
06/01/1991,161.835,10.521,209.721,513.638,280.947,15.048,6.301,1.621,161.835,37.366,10.521,209.721,513.638
07/01/1991,163.21,10.871,210.055,499.535,266.05,15.07,6.739,1.621,163.21,35.974,10.871,210.055,499.535
08/01/1991,201.887,10.871,250.834,512.229,237.525,14.928,6.565,2.377,201.887,38.076,10.871,250.834,512.229
09/01/1991,220.843,10.521,267.735,491.722,201.861,14.03,5.935,2.161,220.843,36.371,10.521,267.735,491.722
10/01/1991,204.17,10.871,249.408,467.135,193.296,14.793,5.208,4.43,204.17,34.366,10.871,249.408,467.135
11/01/1991,194.094,10.521,241.541,467.743,202.13,15.411,4.23,4.43,194.094,36.927,10.521,241.541,467.743
12/01/1991,220.221,10.871,267.033,528.581,239.639,15.954,3.902,2.053,220.221,35.94,10.871,267.033,528.581
01/01/1992,225.223,12.282,279.197,535.605,235.95,15.635,3.273,1.551,225.223,41.692,12.282,279.197,535.605
02/01/1992,179.107,11.489,230.468,449.194,196.021,13.827,3.545,5.333,179.107,39.871,11.489,230.468,449.194
03/01/1992,169.584,12.282,221.177,482.783,237.66,15.679,4.873,3.393,169.584,39.312,12.282,221.177,482.783
04/01/1992,162.501,11.886,210.172,445.954,212.719,14.254,5.512,3.297,162.501,35.785,11.886,210.172,445.954
05/01/1992,136.512,12.282,190.537,455.238,242.426,15.069,6.236,0.97,136.512,41.743,12.282,190.537,455.238
06/01/1992,178.938,11.886,230.985,497.881,244.966,14.876,6.278,0.776,178.938,40.161,11.886,230.985,497.881
07/01/1992,196.218,12.282,250.15,486.977,214.207,15.109,6.735,0.776,196.218,41.651,12.282,250.15,486.977
08/01/1992,216.248,12.282,269.662,491.44,198.457,15.214,6.653,1.454,216.248,41.132,12.282,269.662,491.44
09/01/1992,199.5,11.886,251.511,458.262,183.3,14.18,5.975,3.297,199.5,40.125,11.886,251.511,458.262
10/01/1992,219.054,12.282,269.545,472.679,180.27,14.943,5.4,2.521,219.054,38.209,12.282,269.545,472.679
11/01/1992,220.592,11.886,264.383,498.631,212.065,14.869,4.404,2.909,220.592,31.905,11.886,264.383,498.631
12/01/1992,209.993,12.282,263.891,545.912,259.394,15.043,3.996,3.587,209.993,41.616,12.282,263.891,545.912
01/01/1993,212.917,14.701,274.257,564.643,268.521,15.945,3.37,2.55,212.917,46.639,13.931,273.487,563.873
02/01/1993,190.799,12.587,240.964,477.337,216.725,15.426,3.712,0.51,190.799,37.578,12.979,241.356,477.729
03/01/1993,202.466,14.83,263.204,543.313,253.399,16.137,5.218,5.356,202.466,45.908,15.052,263.426,543.535
04/01/1993,176.447,14.208,226.859,527.476,274.886,15.99,5.916,3.826,176.447,36.205,13.434,226.086,526.703
05/01/1993,141.057,14.454,196.012,537.102,316.469,14.37,6.426,3.826,141.057,40.502,13.452,195.01,536.1
06/01/1993,142.881,13.992,197.445,506.688,287.581,14.436,6.333,0.893,142.881,40.571,13.51,196.963,506.206
07/01/1993,159.077,13.875,212.707,491.684,254.885,15.78,6.909,1.403,159.077,39.755,13.684,212.516,491.493
08/01/1993,215.249,12.088,262.322,502.29,216.292,16.007,6.904,0.765,215.249,34.984,11.273,261.507,501.475
09/01/1993,197.49,13.21,250.551,461.7,188.068,15.439,6.238,1.403,197.49,39.852,13.744,251.085,462.234
10/01/1993,203.03,14.46,257.383,468.76,187.59,15.349,5.504,2.933,203.03,39.893,14.617,257.54,468.916
11/01/1993,209.594,14.96,262.183,482.149,195.571,15.174,4.504,4.718,209.594,37.629,16.607,263.83,483.797
12/01/1993,208.767,15.97,264.559,518.766,231.625,15.621,4.156,2.805,208.767,39.822,16.778,265.367,519.574
01/01/1994,252.903,16.599,306.708,546.055,220.026,15.695,3.626,0,252.903,37.205,17.536,307.644,546.991
02/01/1994,194.065,13.272,244.594,474.597,210.85,14.267,3.849,1.036,194.065,37.257,13.875,245.198,475.2
03/01/1994,202.598,15.795,261.461,530.492,243.412,14.471,5.508,5.639,202.598,43.069,16.083,261.749,530.779
04/01/1994,183.168,13.315,236.035,515.824,254.767,14.76,6.003,4.258,183.168,39.552,13.977,236.697,516.487
05/01/1994,141.247,15.12,202.48,494.547,267.13,14.543,6.596,3.798,141.247,46.113,14.957,202.317,494.384
06/01/1994,156.533,14.26,215.744,497.431,258.029,13.144,6.718,3.798,156.533,44.95,13.657,215.14,496.828
07/01/1994,216.33,14.635,274.451,538.297,241.004,13.897,6.988,1.956,216.33,43.487,14.302,274.118,537.964
08/01/1994,193.374,15.187,251.577,484.333,209.396,15.199,6.78,1.381,193.374,43.016,15.43,251.82,484.576
09/01/1994,180.928,17.765,238.967,433.624,171.008,14.102,6.325,3.222,180.928,40.274,14.752,235.954,430.61
10/01/1994,209.489,16.114,271.599,476.301,180.671,14.475,5.873,3.683,209.489,45.995,17.616,273.101,477.802
11/01/1994,198.716,17.753,261.436,482.931,197.506,14.295,4.631,5.064,198.716,44.967,17.406,261.089,482.584
12/01/1994,194.468,18.576,262.482,512.711,229.658,14.616,4.229,1.726,194.468,49.439,18.801,262.708,512.936
01/01/1995,181.661,18.455,243.462,516.505,256.445,13.067,3.473,0.059,181.661,43.345,17.366,242.373,515.416
02/01/1995,151.839,16.773,206.657,478.622,258.244,9.702,3.778,0.241,151.839,38.045,15.809,205.693,477.658
03/01/1995,181.966,18.162,239.82,550.407,294.609,10.67,5.26,0.047,181.966,39.692,18.363,240.022,550.608
04/01/1995,202.143,17.599,267.571,536.526,253.408,9.352,6.125,0.071,202.143,47.829,17.318,267.29,536.245
05/01/1995,174.718,17.171,227.439,533.621,286.483,8.606,6.879,4.214,174.718,35.551,15.558,225.827,532.008
06/01/1995,164.965,16.388,226.934,560.146,311.683,9.317,7.073,5.14,164.965,45.581,17.411,227.957,561.169
07/01/1995,234.038,15.354,294.251,601.277,283.275,10.066,7.293,6.392,234.038,44.859,14.341,293.238,600.264
08/01/1995,240.237,14.663,301.628,582.282,251.378,16.447,7.201,5.628,240.237,46.729,12.71,299.676,580.33
09/01/1995,208.217,15.073,268.791,499.493,206.52,11.83,6.445,5.907,208.217,45.502,15.114,268.833,499.535
10/01/1995,227.438,15.905,292.175,558.496,238.738,19.182,5.754,2.646,227.438,48.833,18.294,294.565,560.886
11/01/1995,203.6,14.993,267.659,554.287,263.386,17.276,4.675,1.291,203.6,49.066,19.828,272.494,559.122
12/01/1995,199.049,17.201,262.694,585.644,301.139,16.542,4.276,0.994,199.049,46.444,17.684,263.176,586.126
01/01/1996,215.337,16.092,272.584,606.652,317.658,11.3,3.588,1.523,215.337,41.154,17.095,273.586,607.654
02/01/1996,169.485,12.825,226.038,571.304,328.772,11.418,3.92,1.156,169.485,43.729,14.424,227.637,572.903
03/01/1996,196.558,14.13,259.039,627.925,350.334,10.872,5.741,1.939,196.558,48.352,14.816,259.726,628.612
04/01/1996,149.671,12.051,205.729,556.068,329.254,12.137,6.421,2.527,149.671,44.007,12.103,205.781,556.12
05/01/1996,176.787,9.009,231.211,594.906,343.915,8.603,7.126,4.05,176.787,45.415,9.88,232.082,595.776
06/01/1996,197.279,6.717,254.182,607.617,330.103,12.207,7.241,3.885,197.279,50.186,7.258,254.723,608.158
07/01/1996,221.032,7.528,281.656,610.096,298.56,17,7.346,5.533,221.032,53.096,7.434,281.563,610.002
08/01/1996,241.559,9.052,294.581,594.878,271.592,17.542,6.871,4.291,241.559,43.97,9.132,294.661,594.957
09/01/1996,201.147,9.753,259.345,513.259,228.911,15.298,6.07,3.634,201.147,48.445,9.056,258.648,512.561
10/01/1996,241.017,14.983,310.461,568.744,233.632,16.305,5.73,2.616,241.017,54.461,13.457,308.935,567.218
11/01/1996,230.3,14.166,295.562,561.307,243.572,16.486,4.666,1.021,230.3,51.096,14.073,295.468,561.213
12/01/1996,196.854,14.977,264.912,598.134,313.353,14.191,4.412,1.265,196.854,53.08,14.061,263.996,597.218
01/01/1997,219.532,14.553,275.641,629.798,336.616,12.781,3.53,1.23,219.532,41.556,13.881,274.968,629.125
02/01/1997,169.842,13.867,226.521,563.285,321.859,9.767,4.025,1.112,169.842,42.813,14.02,226.674,563.437
03/01/1997,191.206,15.957,251.136,628.987,357.387,13.424,5.524,1.517,191.206,43.974,15.683,250.862,628.713
04/01/1997,189.865,14.195,252.01,603.776,327.586,14.657,6.215,3.309,189.865,47.949,14.063,251.878,603.645
05/01/1997,200.871,18.01,268.515,642.247,349.12,14.331,6.702,3.579,200.871,49.635,15.981,266.486,640.218
06/01/1997,172.743,13.393,231.69,607.803,351.899,11.918,7.016,5.281,172.743,45.553,12.665,230.961,607.075
07/01/1997,195.848,16.795,259.985,611.214,323.304,15.455,7.267,5.203,195.848,47.342,16.639,259.829,611.058
08/01/1997,204.296,12.415,264.422,566.984,274.788,15.283,7.074,5.416,204.296,47.711,12.495,264.502,567.063
09/01/1997,193.213,15.398,250.744,513.212,238.97,14.604,6.236,2.657,193.213,42.133,14.652,249.998,512.467
10/01/1997,239.624,17.797,305.656,581.272,252.613,14.497,5.702,2.804,239.624,48.235,18.834,306.693,582.309
11/01/1997,203.767,14.924,264.591,526.466,242.156,14.404,4.572,0.742,203.767,45.9,15.167,264.834,526.708
12/01/1997,190.185,19.012,256.998,541.767,264.16,15.576,4.302,0.73,190.185,47.802,19.549,257.536,542.305
01/01/1998,218.095,19.477,278.211,591.525,293.86,15.811,3.466,0.177,218.095,40.639,19.047,277.781,591.094
02/01/1998,158.343,14.054,212.209,534.593,305.87,12.721,3.709,0.083,158.343,39.813,14.668,212.823,535.207
03/01/1998,179.494,15.307,240.963,585.345,323.122,15.674,5.523,0.063,179.494,46.162,16.458,242.115,586.497
04/01/1998,178.06,17.467,240.612,550.085,291.715,10.788,6.093,0.876,178.06,45.084,16.07,239.214,548.687
05/01/1998,186.622,14.75,250.239,606.593,338.499,9.908,6.486,1.461,186.622,48.867,13.976,249.466,605.82
06/01/1998,128.7,16.033,186.089,538.492,329.782,11.755,6.838,4.027,128.7,41.356,15.135,185.191,537.594
07/01/1998,184.548,15.64,246.326,565.999,292.237,14.565,7.289,5.582,184.548,46.139,15.376,246.062,565.735
08/01/1998,191.758,16.269,254.237,537.288,256.055,15.558,7.139,4.299,191.758,46.21,16.221,254.189,537.24
09/01/1998,186.479,17.262,248.27,487.111,212.368,15.259,6.362,4.852,186.479,44.53,16.908,247.917,486.757
10/01/1998,202.005,17.655,267.922,485.978,192.567,16.743,5.699,3.047,202.005,48.262,18.484,268.751,486.807
11/01/1998,171.31,17.794,230.488,456.086,204.15,15.035,4.567,1.847,171.31,41.384,17.35,230.044,455.642
12/01/1998,198.747,20.766,273.362,553.64,256.829,14.633,4.278,4.539,198.747,53.849,21.342,273.938,554.216
01/01/1999,210.996,19.158,272.26,596.138,301.877,15.171,3.383,3.446,210.996,42.105,18.586,271.688,595.566
02/01/1999,162.352,15.417,220.539,533.206,293.419,12.383,3.706,3.159,162.352,42.77,15.313,220.435,533.102
03/01/1999,149.912,17.696,212.177,564.564,328.047,14.471,5.3,4.568,149.912,44.57,16.867,211.349,563.735
04/01/1999,183.534,19.152,249.92,551.655,279.566,12.382,5.97,3.818,183.534,47.234,16.77,247.537,549.273
05/01/1999,222.166,17.388,289.264,610.254,296.517,15.035,6.619,2.818,222.166,49.711,16.077,287.953,608.943
06/01/1999,173.903,14.336,236.09,571.951,312.577,13.986,6.701,2.596,173.903,47.851,15.636,237.39,573.252
07/01/1999,203.953,14.275,264.292,593.682,303.567,14.153,7.006,4.664,203.953,46.064,14.23,264.247,593.637
08/01/1999,197.764,17.11,258.854,547.076,263.077,14.417,6.819,3.909,197.764,43.98,16.624,258.368,546.59
09/01/1999,181.899,17.877,244.14,482.163,213.64,14.426,6.098,3.859,181.899,44.364,16.972,243.235,481.258
10/01/1999,164.413,19.309,228.256,456.717,203.526,14.953,5.701,4.281,164.413,44.534,19.844,228.79,457.251
11/01/1999,192.219,18.101,254.125,492.906,216.417,14.216,4.525,3.622,192.219,43.805,19.651,255.675,494.456
12/01/1999,171.056,20.99,235.215,515.277,255.344,15.328,4.235,5.155,171.056,43.17,22.398,236.623,516.685
01/01/2000,160.708,19.339,222.067,505.15,258.518,14.724,3.259,6.583,160.708,42.021,19.713,222.442,505.525
02/01/2000,185.259,18.258,246.169,499.959,229.354,13.606,3.628,7.201,185.259,42.652,17.294,245.205,498.995
03/01/2000,195.714,19.502,263.209,558.005,272.397,13.848,4.981,3.571,195.714,47.994,19.973,263.681,558.477
04/01/2000,187.07,19.985,254.609,568.524,290.623,14.367,5.558,3.367,187.07,47.555,18.611,253.235,567.151
05/01/2000,184.011,19.973,254.678,558.724,279.719,13.885,6.279,4.163,184.011,50.694,20.077,254.782,558.828
06/01/2000,167.726,17.673,227.712,509.114,256.913,13.563,6.366,4.56,167.726,42.314,16.306,226.346,507.747
07/01/2000,191.305,19.912,255.348,526.262,246.155,13.983,6.901,3.876,191.305,44.131,19.246,254.682,525.596
08/01/2000,194.632,17.661,254.942,503.686,224.228,14.003,6.674,3.84,194.632,42.649,19.402,256.683,505.427
09/01/2000,180.764,18.729,240.331,443.376,181.584,11.971,6.099,3.391,180.764,40.838,18.906,240.508,443.553
10/01/2000,206.142,20.697,270.472,468.215,175.315,12.837,5.395,4.197,206.142,43.633,21.918,271.693,469.436
11/01/2000,200.803,19.9,261.335,482.866,195.459,13.383,4.293,8.396,200.803,40.632,21.464,262.899,484.43
12/01/2000,207.582,21.518,254.788,477.785,200.852,14.194,4.038,3.914,207.582,25.688,22.801,256.071,479.069
01/01/2001,175.982,21.638,228.434,444.97,194.798,14.612,3.104,4.022,175.982,30.814,23.739,230.534,447.071
02/01/2001,155.969,19.67,202.849,404.069,180.547,12.812,3.404,4.456,155.969,27.21,20.084,203.263,404.482
03/01/2001,168.14,21.192,219.649,455.78,211.591,14.206,4.837,5.498,168.14,30.317,21.55,220.006,456.138
04/01/2001,163.973,19.537,213.628,425.366,186.128,13.162,5.372,7.075,163.973,30.118,18.71,212.8,424.538
05/01/2001,161.457,20.222,211.506,435.516,198.142,12.98,6.326,6.562,161.457,29.828,19.576,210.861,434.871
06/01/2001,163.772,20.044,213.95,454.616,214.179,13.088,6.48,6.919,163.772,30.134,16.692,210.598,451.264
07/01/2001,169.421,21.023,221.842,436.066,186.812,14.087,6.764,6.561,169.421,31.398,23.398,224.217,438.441
08/01/2001,173.357,21.283,225.897,447.902,195.436,13.97,6.635,5.964,173.357,31.258,18.938,223.552,445.558
09/01/2001,163.666,21.008,214.229,396.469,157.641,13.617,5.917,5.066,163.666,29.555,20.372,213.593,395.833
10/01/2001,174.181,22.657,227.319,409.918,157.418,13.913,4.998,6.27,174.181,30.481,25.014,229.675,412.275
11/01/2001,166.005,22.961,219.773,401.771,159.262,13.805,4.071,4.861,166.005,30.807,22.206,219.018,401.017
12/01/2001,169.916,23.218,225.088,449.328,199.905,14.208,3.766,6.362,169.916,31.954,22.369,224.239,448.48
01/01/2002,169.367,25.334,228.396,476.543,221.72,15.114,3.059,8.254,169.367,33.695,23.789,226.851,474.999
02/01/2002,148.458,20.747,198.932,428.357,205.41,13.339,3.413,7.263,148.458,29.727,21.185,199.37,428.795
03/01/2002,159.644,24.003,217.568,459.464,213.723,14.682,4.824,8.668,159.644,33.921,21.037,214.601,456.497
04/01/2002,158.336,22.916,212.852,488.511,246.661,13.292,5.285,10.421,158.336,31.601,22.43,212.366,488.025
05/01/2002,168.013,24.238,225.155,527.649,271.24,14.386,5.906,10.963,168.013,32.904,23.838,224.755,527.249
06/01/2002,159.326,22.416,215.107,533.572,287.009,13.659,6.339,11.458,159.326,33.365,21.848,214.539,533.004
07/01/2002,176.434,24.015,235.713,525.246,259.113,14.857,6.505,9.059,176.434,35.264,24.563,236.261,525.794
08/01/2002,163.556,25.418,224.4,469.661,214.487,14.5,6.338,9.936,163.556,35.426,24.98,223.963,469.223
09/01/2002,171.211,26.251,230.855,431.895,173.824,14.109,5.621,7.486,171.211,33.394,25.367,229.971,431.011
10/01/2002,180.316,29.849,243.767,445.453,174.684,14.581,4.95,7.471,180.316,33.603,29.756,243.674,445.36
11/01/2002,166.492,30.001,230.328,455.854,200.714,14.051,4.089,6.673,166.492,33.835,32.207,232.533,458.059
12/01/2002,174.133,32.931,242.334,488.697,220.434,14.594,3.653,7.683,174.133,35.27,32.335,241.737,488.101
01/01/2003,169.564,33.05,237.044,470.089,208.576,15.061,3.006,6.402,169.564,34.431,30.723,234.717,467.763
02/01/2003,153.718,28.469,212.693,437.335,200.271,13.547,3.277,7.547,153.718,30.507,31.894,216.118,440.76
03/01/2003,166.337,32.649,233.288,508.207,245.048,14.607,4.773,10.491,166.337,34.303,30.555,231.195,506.114
04/01/2003,162.813,32.368,228.516,509.64,250.685,14.062,5.313,11.064,162.813,33.334,32.588,228.736,509.86
05/01/2003,163.891,32.625,229.756,557.612,297.627,14.16,5.879,10.19,163.891,33.24,32.694,229.825,557.681
06/01/2003,162.635,32.703,228.254,549.082,289.436,14.633,6.156,10.602,162.635,32.915,31.844,227.395,548.222
07/01/2003,174.308,33.241,242.533,524.613,251.536,14.76,6.13,9.653,174.308,34.984,32.473,241.766,523.846
08/01/2003,171.772,33.6,239.928,501.519,232.592,14.674,6.069,8.256,171.772,34.556,34.451,240.779,502.37
09/01/2003,164.17,34.169,230.968,447.111,187.115,14.437,5.528,9.062,164.17,32.628,32.475,229.274,445.417
10/01/2003,169.075,35.036,236.938,451.922,186.588,14.431,4.882,9.084,169.075,32.827,35.228,237.129,452.114
11/01/2003,166.306,34.893,233.698,460.811,199.617,13.908,3.852,9.735,166.306,32.498,37.877,236.682,463.794
12/01/2003,177.447,38.591,251.16,524.525,243.449,15.164,3.565,11.187,177.447,35.123,40.285,252.855,526.219
01/01/2004,183.985,39.269,255.574,514.255,230.201,15.493,2.977,10.01,183.985,32.32,40.19,256.495,515.175
02/01/2004,168.663,36.894,236.689,474.095,209.471,14.522,3.181,10.232,168.663,31.132,38.748,238.543,475.949
03/01/2004,175.736,39.846,248.532,510.691,229.509,14.954,4.764,12.933,175.736,32.949,39.945,248.63,510.79
04/01/2004,175.957,39.105,247.253,488.747,209.214,14.075,5.236,12.969,175.957,32.191,40.264,248.412,489.906
05/01/2004,169.777,41.089,244.383,522.597,240.581,14.619,5.97,17.044,169.777,33.517,41.67,244.964,523.178
06/01/2004,171.743,39.836,244.075,531.784,252.927,14.709,6.077,13.994,171.743,32.495,42.516,246.754,534.463
07/01/2004,183.591,40.447,257.042,523.858,233.556,15.32,6.278,11.662,183.591,33.003,40.597,257.191,524.007
08/01/2004,179.526,41.803,254.446,502.48,216.265,15.116,6.129,10.524,179.526,33.116,41.745,254.388,502.422
09/01/2004,171.017,40.538,243.019,479.391,205.581,14.345,5.532,10.914,171.017,31.463,41.372,243.852,480.224
10/01/2004,179.681,41.982,253.52,472.887,188.93,15.308,4.824,10.305,179.681,31.857,43.223,254.761,474.128
11/01/2004,173.661,41.609,247.286,484.745,209.705,14.582,3.835,9.337,173.661,32.016,42.508,248.184,485.644
12/01/2004,187.914,43.302,264.199,557.141,262.527,15.104,3.572,11.739,187.914,32.983,45,265.897,558.839
01/01/2005,185.551,45.102,264.707,537.035,242.697,15.391,2.925,11.315,185.551,34.054,46.014,265.619,537.947
02/01/2005,175.761,41.376,247.271,489.393,216.046,13.222,3.19,9.664,175.761,30.134,41.146,247.041,489.163
03/01/2005,180.584,45.51,260.043,524.494,229.338,14.912,4.597,15.605,180.584,33.949,44.966,259.499,523.95
04/01/2005,171.578,43.143,246.929,514.339,230.561,14.648,5.229,16.973,171.578,32.208,42.537,246.323,513.734
05/01/2005,176.617,44.487,255.79,567.464,272.758,15.513,5.94,17.463,176.617,34.686,45.383,256.686,568.36
06/01/2005,173.219,45.082,252.466,559.554,267.803,15.257,6.06,17.967,173.219,34.165,47.73,255.114,562.202
07/01/2005,182.702,48.33,266.332,561.835,259.542,15.596,6.156,14.208,182.702,35.3,49.025,267.028,562.531
08/01/2005,182.796,48.584,266.097,514.654,215.635,15.407,6.135,11.379,182.796,34.718,51.217,268.73,517.287
09/01/2005,174.501,47.316,255.348,464.168,173.619,15.003,5.515,14.682,174.501,33.531,47.804,255.836,464.655
10/01/2005,178.567,50.269,261.121,475.814,180.046,15.341,4.846,14.46,178.567,32.286,51.536,262.388,477.082
11/01/2005,173.209,49.787,256.532,484.901,193.507,14.973,3.794,16.095,173.209,33.536,51.832,258.577,486.946
12/01/2005,181.612,52.284,268.55,527.161,221.389,15.438,3.508,18.276,181.612,34.653,54.823,271.089,529.7
01/01/2006,187.674,54.188,276.647,590.884,272.144,15.313,3.147,23.633,187.674,34.785,52.761,275.22,589.458
02/01/2006,164.912,51.185,247.274,529.231,245.611,13.834,3.448,19.064,164.912,31.177,48.955,245.044,527
03/01/2006,175.5,56.829,265.069,553.158,244.251,15.628,4.815,23.395,175.5,32.74,55.374,263.614,551.703
04/01/2006,166.537,52.99,250.384,577.819,283.244,14.216,5.458,24.517,166.537,30.858,54.87,252.265,579.7
05/01/2006,171.132,56.266,261.125,611.342,305.688,13.984,6.156,24.388,171.132,33.727,62.992,267.851,618.068
06/01/2006,170.346,59.32,261.96,598.581,295.163,14.911,6.195,20.351,170.346,32.295,69,271.64,608.261
07/01/2006,180.235,60.456,274.809,568.553,252.333,15.628,6.39,19.392,180.235,34.118,65.85,280.203,573.946
08/01/2006,179.396,63.872,277.063,531.447,215.524,15.902,6.541,16.418,179.396,33.794,69.551,282.741,537.126
09/01/2006,173.115,62.519,267.952,478.075,170.621,15.112,5.751,18.639,173.115,32.318,68.463,273.896,484.019
10/01/2006,177.454,64.739,275.12,489.353,169.17,15.766,5.073,24.223,177.454,32.927,72.077,282.458,496.691
11/01/2006,172.741,64.175,270.475,515.797,201.075,14.993,4.054,25.199,172.741,33.56,70.949,277.249,522.571
12/01/2006,180.279,69.095,283.636,542.004,214.21,15.913,3.728,24.517,180.279,34.262,75.418,289.959,548.326
01/01/2007,182.455,71.627,290.845,592.16,257.426,16.297,3.354,24.239,182.455,36.763,76.469,295.687,597.002
02/01/2007,162.893,66.107,261.666,488.001,183.513,14.248,3.669,24.906,162.893,32.666,69.09,264.65,490.985
03/01/2007,174.64,73.657,285.146,574.76,238.832,15.392,5.273,30.117,174.64,36.85,75.945,287.435,577.049
04/01/2007,173.47,72.575,278.386,566.514,236.135,14.824,5.821,31.349,173.47,32.341,71.828,277.639,565.767
05/01/2007,173.553,78.629,286.01,594.208,257.448,14.904,6.664,29.181,173.553,33.828,77.982,285.363,593.561
06/01/2007,170.164,78.428,281.995,555.751,225.519,15.616,6.719,25.9,170.164,33.402,80.617,284.184,557.939
07/01/2007,178.134,83.124,295.653,562.032,222.17,15.849,7.026,21.333,178.134,34.395,82.563,295.092,561.47
08/01/2007,174.785,86.362,295.523,542.044,197.092,15.891,6.856,26.681,174.785,34.377,86.584,295.746,542.266
09/01/2007,169.547,84.913,287.603,483.318,145.715,15.414,6.25,28.335,169.547,33.143,83.95,286.64,482.354
10/01/2007,174.97,89.501,299.416,500.596,146.248,15.989,5.568,33.374,174.97,34.945,92.473,302.388,503.567
11/01/2007,172.532,90.469,297.828,503.177,155.001,15.347,4.409,30.591,172.532,34.827,88.647,296.006,501.355
12/01/2007,181.632,94.677,312.007,547.807,181.289,16.003,4.01,34.497,181.632,35.698,96.665,313.995,549.794
01/01/2008,195.336,99.696,331.138,597.548,204.758,15.825,3.719,42.108,195.336,36.106,95.746,327.188,593.597
02/01/2008,169.281,95.947,300.535,542.194,185.146,14.369,4.189,37.955,169.281,35.307,95.403,299.991,541.65
03/01/2008,175.228,108.172,321.487,604.394,213.526,16.239,6.021,47.122,175.228,38.088,100.607,313.922,596.829
04/01/2008,171.485,106.434,314.073,607.199,219.093,15.79,6.753,51.49,171.485,36.154,105.611,313.25,606.376
05/01/2008,172.47,115.872,324.185,668.768,268.237,16.318,7.404,52.623,172.47,35.843,111.983,320.296,664.879
06/01/2008,167.713,110.288,313.335,675.46,287.514,16.206,7.752,50.653,167.713,35.334,108.741,311.788,673.913
07/01/2008,173.963,119.214,330.507,646.244,251.82,16.514,7.904,39.499,173.963,37.33,118.887,330.18,645.917
08/01/2008,171.954,125.23,333.607,599.201,209.193,16.454,7.779,32.167,171.954,36.423,123.463,331.84,597.434
09/01/2008,164.058,120.382,318.84,531.925,159.42,15.944,7.061,30.66,164.058,34.4,121.277,319.736,532.82
10/01/2008,169.452,124.307,330.125,552.128,152.441,16.495,6.197,46.87,169.452,36.366,126.128,331.946,553.949
11/01/2008,166.136,124.69,327.317,551.737,154.392,15.94,4.881,49.207,166.136,36.491,122.252,324.878,549.298
12/01/2008,161.91,123.769,323.102,614.75,205.569,16.339,4.547,65.193,161.91,37.422,127.044,326.377,618.025
01/01/2009,162.356,118.534,318.353,626.672,229.265,17.14,3.834,58.08,162.356,37.463,113.896,313.715,622.034
02/01/2009,150.552,109.634,294.389,545.223,173.845,15.517,4.354,57.117,150.552,34.203,101.386,286.141,536.975
03/01/2009,159.501,119.507,319.356,625.284,213.036,17.252,6.353,69.287,159.501,40.348,117.49,317.339,623.267
04/01/2009,151.432,115.45,303.489,651.263,251.513,16.341,7.132,72.787,151.432,36.607,119.403,307.442,655.216
05/01/2009,156.528,125.507,319.032,693.147,288.502,16.616,7.88,61.117,156.528,36.998,129.748,323.274,697.389
06/01/2009,158.244,126.318,321.739,685.792,285.318,16.212,7.873,54.65,158.244,37.176,128.286,323.707,687.759
07/01/2009,167.558,137.683,343.841,645.637,228.235,16.814,8.388,48.36,167.558,38.599,137.62,343.778,645.574
08/01/2009,170.874,139.431,348.551,618.027,191.105,16.773,8.265,53.333,170.874,38.246,139.782,348.901,618.377
09/01/2009,161.716,134.584,332.374,570.906,169.421,16.289,7.43,45.391,161.716,36.075,132.892,330.682,569.214
10/01/2009,165.592,142.871,346.472,628.228,192.185,16.479,6.592,66.501,165.592,38.01,143.407,347.009,628.765
11/01/2009,162.144,147.495,348.333,642.567,205.035,16.841,5.256,67.102,162.144,38.694,142.409,343.246,637.48
12/01/2009,168.514,152.906,360.689,692.188,241.363,17.912,4.822,67.403,168.514,39.268,146.999,354.782,686.281
01/01/2010,187.178,150.936,377.071,684.564,218.369,17.852,4.401,66.871,187.178,38.958,141.164,367.299,674.792
02/01/2010,171.797,140.823,347.952,622.652,200.874,15.872,4.96,52.993,171.797,35.332,135.008,342.138,616.837
